"PLASTICS_APPLICATIONS","Plastics applications","TIME","Time","Value","Flag Codes","Flags"
"MARINE_COATINGS","Marine coatings","2018","2018",0.524,,
"MARINE_COATINGS","Marine coatings","2019","2019",0.541,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1990","1990",0.817,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1991","1991",0.846,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1992","1992",0.898,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1993","1993",0.934,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1994","1994",1.024,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1995","1995",1.062,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1996","1996",1.136,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1997","1997",1.219,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1998","1998",1.272,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1999","1999",1.365,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2000","2000",1.434,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2001","2001",1.466,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2002","2002",1.557,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2003","2003",1.618,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2004","2004",1.717,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2005","2005",1.762,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2006","2006",1.869,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2007","2007",1.969,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2008","2008",1.872,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2009","2009",1.915,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2010","2010",2.067,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2011","2011",2.139,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2012","2012",2.207,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2013","2013",2.288,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2014","2014",2.315,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2015","2015",2.427,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2016","2016",2.419,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2017","2017",2.495,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2018","2018",2.599,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2019","2019",2.683,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1990","1990",0.007,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1991","1991",0.007,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1992","1992",0.008,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1993","1993",0.008,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1994","1994",0.009,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1995","1995",0.009,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1996","1996",0.01,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1997","1997",0.011,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1998","1998",0.011,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1999","1999",0.012,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2000","2000",0.013,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2001","2001",0.013,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2002","2002",0.014,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2003","2003",0.015,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2004","2004",0.016,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2005","2005",0.017,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2006","2006",0.018,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2007","2007",0.019,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2008","2008",0.018,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2009","2009",0.019,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2010","2010",0.021,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2011","2011",0.022,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2012","2012",0.023,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2013","2013",0.024,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2014","2014",0.024,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2015","2015",0.025,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2016","2016",0.026,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2017","2017",0.026,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2018","2018",0.027,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2019","2019",0.027,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1990","1990",7.199,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1991","1991",7.519,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1992","1992",8.05,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1993","1993",8.441,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1994","1994",9.325,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1995","1995",9.747,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1996","1996",10.519,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1997","1997",11.371,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1998","1998",11.964,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1999","1999",12.946,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2000","2000",13.71,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2001","2001",14.129,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2002","2002",15.125,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2003","2003",15.848,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2004","2004",16.956,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2005","2005",17.539,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2006","2006",18.755,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2007","2007",19.919,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2008","2008",19.089,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2009","2009",19.688,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2010","2010",21.582,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2011","2011",22.674,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2012","2012",23.758,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2013","2013",25.009,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2014","2014",25.691,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2015","2015",26.332,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2016","2016",26.903,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2017","2017",27.482,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2018","2018",28.057,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2019","2019",28.759,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1990","1990",4.438,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1991","1991",4.61,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1992","1992",4.909,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1993","1993",5.119,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1994","1994",5.626,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1995","1995",5.849,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1996","1996",6.28,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1997","1997",6.754,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1998","1998",7.07,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1999","1999",7.612,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2000","2000",8.021,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2001","2001",8.226,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2002","2002",8.762,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2003","2003",9.137,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2004","2004",9.73,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2005","2005",10.017,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2006","2006",10.662,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2007","2007",11.272,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2008","2008",10.753,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2009","2009",11.041,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2010","2010",11.998,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2011","2011",12.497,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2012","2012",12.985,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2013","2013",13.555,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2014","2014",13.812,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2015","2015",14.186,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2016","2016",14.348,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2017","2017",14.554,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2018","2018",14.812,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2019","2019",15.116,,
"ROAD_MARKING","Road marking","1990","1990",0.195,,
"ROAD_MARKING","Road marking","1991","1991",0.203,,
"ROAD_MARKING","Road marking","1992","1992",0.215,,
"ROAD_MARKING","Road marking","1993","1993",0.224,,
"ROAD_MARKING","Road marking","1994","1994",0.246,,
"ROAD_MARKING","Road marking","1995","1995",0.256,,
"ROAD_MARKING","Road marking","1996","1996",0.274,,
"ROAD_MARKING","Road marking","1997","1997",0.295,,
"ROAD_MARKING","Road marking","1998","1998",0.308,,
"ROAD_MARKING","Road marking","1999","1999",0.331,,
"ROAD_MARKING","Road marking","2000","2000",0.349,,
"ROAD_MARKING","Road marking","2001","2001",0.357,,
"ROAD_MARKING","Road marking","2002","2002",0.38,,
"ROAD_MARKING","Road marking","2003","2003",0.396,,
"ROAD_MARKING","Road marking","2004","2004",0.421,,
"ROAD_MARKING","Road marking","2005","2005",0.433,,
"ROAD_MARKING","Road marking","2006","2006",0.46,,
"ROAD_MARKING","Road marking","2007","2007",0.486,,
"ROAD_MARKING","Road marking","2008","2008",0.463,,
"ROAD_MARKING","Road marking","2009","2009",0.475,,
"ROAD_MARKING","Road marking","2010","2010",0.515,,
"ROAD_MARKING","Road marking","2011","2011",0.536,,
"ROAD_MARKING","Road marking","2012","2012",0.556,,
"ROAD_MARKING","Road marking","2013","2013",0.579,,
"ROAD_MARKING","Road marking","2014","2014",0.589,,
"ROAD_MARKING","Road marking","2015","2015",0.6,,
"ROAD_MARKING","Road marking","2016","2016",0.607,,
"ROAD_MARKING","Road marking","2017","2017",0.63,,
"ROAD_MARKING","Road marking","2018","2018",0.657,,
"ROAD_MARKING","Road marking","2019","2019",0.682,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1990","1990",2.172,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1991","1991",2.259,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1992","1992",2.408,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1993","1993",2.515,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1994","1994",2.767,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1995","1995",2.88,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1996","1996",3.096,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1997","1997",3.333,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1998","1998",3.493,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1999","1999",3.765,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2000","2000",3.972,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2001","2001",4.078,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2002","2002",4.349,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2003","2003",4.54,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2004","2004",4.839,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2005","2005",4.987,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2006","2006",5.314,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2007","2007",5.623,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2008","2008",5.37,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2009","2009",5.519,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2010","2010",6.01,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2011","2011",6.274,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2012","2012",6.532,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2013","2013",6.833,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2014","2014",6.977,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2015","2015",7.1,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2016","2016",7.164,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2017","2017",7.3,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2018","2018",7.522,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2019","2019",7.734,,
"TOTAL","Total","1990","1990",129.887,,
"TOTAL","Total","1991","1991",134.87,,
"TOTAL","Total","1992","1992",143.569,,
"TOTAL","Total","1993","1993",149.685,,
"TOTAL","Total","1994","1994",164.447,,
"TOTAL","Total","1995","1995",170.917,,
"TOTAL","Total","1996","1996",183.44,,
"TOTAL","Total","1997","1997",197.228,,
"TOTAL","Total","1998","1998",206.397,,
"TOTAL","Total","1999","1999",222.145,,
"TOTAL","Total","2000","2000",234.008,,
"TOTAL","Total","2001","2001",239.907,,
"TOTAL","Total","2002","2002",255.48,,
"TOTAL","Total","2003","2003",266.323,,
"TOTAL","Total","2004","2004",283.508,,
"TOTAL","Total","2005","2005",291.788,,
"TOTAL","Total","2006","2006",310.465,,
"TOTAL","Total","2007","2007",328.116,,
"TOTAL","Total","2008","2008",312.909,,
"TOTAL","Total","2009","2009",321.169,,
"TOTAL","Total","2010","2010",348.88,,
"TOTAL","Total","2011","2011",363.27,,
"TOTAL","Total","2012","2012",377.301,,
"TOTAL","Total","2013","2013",393.737,,
"TOTAL","Total","2014","2014",401.032,,
"TOTAL","Total","2015","2015",412.751,,
"TOTAL","Total","2016","2016",419.97,,
"TOTAL","Total","2017","2017",432.184,,
"TOTAL","Total","2018","2018",446.2,,
"TOTAL","Total","2019","2019",459.746,,
